Trial 0 finished with values: [10.81514048576355, 0.8296504020690918] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 64, 'resnet3d_inplanes_1': 20, 'resnet2d_inplanes_2': 51, 'resnet3d_inplanes_2': 23, 'optimizer': 'RMSprop', 'lr': 0.00019096739347835773, 'weight_decay': 0.0012945427603003295, 'batch_size': 2}. 
Trial 1 finished with values: [6.880604267120361, 0.7323130567868551] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 18, 'resnet2d_inplanes_1': 40, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 39, 'resnet3d_inplanes_2': 20, 'optimizer': 'Adam', 'lr': 0.00032117685902790307, 'weight_decay': 0.0012959406987438113, 'batch_size': 4}. 
Trial 2 finished with values: [19.087729771931965, 0.915217657883962] and parameters: {'resnet2d_inplanes_0': 61, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 28, 'optimizer': 'Adam', 'lr': 0.024842969520800635, 'weight_decay': 6.172427003755412e-06, 'batch_size': 5}. 
Trial 3 finished with values: [17.126258214314777, 0.8414491613705953] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 53, 'resnet3d_inplanes_1': 21, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 27, 'optimizer': 'SGD', 'lr': 0.009403814041039382, 'weight_decay': 1.8061634008701213e-05, 'batch_size': 2}. 
Trial 4 finished with values: [9.307928403218588, 0.7827970186869303] and parameters: {'resnet2d_inplanes_0': 49, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 57, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 38, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 0.022109361804283686, 'weight_decay': 0.00036406015791540073, 'batch_size': 4}. 
Trial 5 finished with values: [16.453145027160645, 0.8552011996507645] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 21, 'resnet2d_inplanes_2': 39, 'resnet3d_inplanes_2': 24, 'optimizer': 'RMSprop', 'lr': 0.026867356164513204, 'weight_decay': 0.0008217375746634526, 'batch_size': 3}. 
Trial 6 finished with values: [9.694539546966553, 0.8154215514659882] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 54, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 19, 'optimizer': 'RMSprop', 'lr': 0.02862066366069195, 'weight_decay': 1.026374527452419e-06, 'batch_size': 2}. 
Trial 7 finished with values: [20.627919673919678, 0.9351598173379898] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 26, 'resnet2d_inplanes_1': 40, 'resnet3d_inplanes_1': 18, 'resnet2d_inplanes_2': 51, 'resnet3d_inplanes_2': 20, 'optimizer': 'SGD', 'lr': 0.006748315488154901, 'weight_decay': 5.4930300397108316e-05, 'batch_size': 3}. 
Trial 8 finished with values: [11.305880546569824, 0.8535459041595459] and parameters: {'resnet2d_inplanes_0': 46, 'resnet3d_inplanes_0': 18, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 4.0726664526178316e-05, 'weight_decay': 0.001977593845715424, 'batch_size': 4}. 
Trial 9 finished with values: [9.536128838857016, 0.8074496885140737] and parameters: {'resnet2d_inplanes_0': 51, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 43, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 16, 'optimizer': 'RMSprop', 'lr': 0.0001718359537296694, 'weight_decay': 0.0078111909913826365, 'batch_size': 2}. 
Trial 10 finished with values: [10.515048821767172, 0.8088050285975138] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 22, 'resnet2d_inplanes_2': 35, 'resnet3d_inplanes_2': 28, 'optimizer': 'RMSprop', 'lr': 0.04353605870058464, 'weight_decay': 0.001535805604030191, 'batch_size': 2}. 
Trial 11 finished with values: [69.61814626057942, 0.9999533295631409] and parameters: {'resnet2d_inplanes_0': 58, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 62, 'resnet3d_inplanes_1': 26, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 25, 'optimizer': 'RMSprop', 'lr': 0.03554378434629989, 'weight_decay': 1.527362797785881e-05, 'batch_size': 5}. 
Trial 12 finished with values: [16.093566417694092, 0.8098054925600687] and parameters: {'resnet2d_inplanes_0': 57, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 49, 'resnet3d_inplanes_1': 30, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 30, 'optimizer': 'SGD', 'lr': 0.0015168578377297722, 'weight_decay': 0.0002725922771577275, 'batch_size': 2}. 
Trial 13 finished with values: [7.886776924133301, 0.7447595000267029] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 41, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 56, 'resnet3d_inplanes_2': 19, 'optimizer': 'RMSprop', 'lr': 4.341164432028273e-05, 'weight_decay': 1.4794486558506834e-06, 'batch_size': 4}. 
Trial 14 finished with values: [10.730763753255209, 0.8230617046356201] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 35, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 20, 'optimizer': 'RMSprop', 'lr': 0.00024766440995021075, 'weight_decay': 0.00038614344084624566, 'batch_size': 4}. 
Trial 15 finished with values: [14.597909927368164, 0.8623000582059225] and parameters: {'resnet2d_inplanes_0': 58, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 63, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 38, 'resnet3d_inplanes_2': 17, 'optimizer': 'Adam', 'lr': 3.0330831852790138e-05, 'weight_decay': 0.0008415856115430334, 'batch_size': 5}. 
Trial 16 finished with values: [11.102989435195923, 0.8204079419374466] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 22, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 34, 'resnet3d_inplanes_2': 22, 'optimizer': 'RMSprop', 'lr': 0.0012941956015990993, 'weight_decay': 4.058906616821296e-05, 'batch_size': 3}. 
Trial 17 finished with values: [10.448651949564615, 0.8097030719121298] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 39, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 33, 'resnet3d_inplanes_2': 32, 'optimizer': 'Adam', 'lr': 7.634631228130862e-05, 'weight_decay': 0.004063128620124924, 'batch_size': 5}. 
Trial 18 finished with values: [11.07730770111084, 0.8264988660812378] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 57, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 59, 'resnet3d_inplanes_2': 29, 'optimizer': 'SGD', 'lr': 5.709537788588868e-05, 'weight_decay': 7.731932507295871e-06, 'batch_size': 5}. 
Trial 19 finished with values: [10.034658273061117, 0.8208894729614258] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 59, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 1.8448970764912487e-05, 'weight_decay': 8.908812661140106e-05, 'batch_size': 2}. 
Trial 20 finished with values: [13.79430349667867, 0.8478175401687622] and parameters: {'resnet2d_inplanes_0': 49, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 56, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 58, 'resnet3d_inplanes_2': 16, 'optimizer': 'RMSprop', 'lr': 9.421972644471436e-05, 'weight_decay': 0.0017953716324245652, 'batch_size': 2}. 
Trial 21 finished with values: [10.17528247833252, 0.8248119751612345] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 22, 'resnet2d_inplanes_1': 62, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 29, 'optimizer': 'SGD', 'lr': 0.0016066889074362683, 'weight_decay': 0.0010571505511837614, 'batch_size': 5}. 
Trial 22 finished with values: [13.59372615814209, 0.8558825850486755] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 25, 'resnet2d_inplanes_2': 60, 'resnet3d_inplanes_2': 24, 'optimizer': 'SGD', 'lr': 8.898955130978416e-05, 'weight_decay': 9.770226450477562e-06, 'batch_size': 5}. 
Trial 23 finished with values: [10.554884195327759, 0.8102013468742371] and parameters: {'resnet2d_inplanes_0': 55, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 32, 'optimizer': 'RMSprop', 'lr': 0.0003377653606540578, 'weight_decay': 0.0034930786190487183, 'batch_size': 3}. 
Trial 24 finished with values: [11.772361437479654, 0.8180116216341654] and parameters: {'resnet2d_inplanes_0': 62, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 53, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 21, 'optimizer': 'SGD', 'lr': 0.0014246224383225457, 'weight_decay': 0.0003544354045077697, 'batch_size': 2}. 
Trial 25 finished with values: [12.907900094985962, 0.8578997105360031] and parameters: {'resnet2d_inplanes_0': 50, 'resnet3d_inplanes_0': 32, 'resnet2d_inplanes_1': 36, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 37, 'resnet3d_inplanes_2': 26, 'optimizer': 'RMSprop', 'lr': 0.0018227297506336175, 'weight_decay': 1.646975040202768e-06, 'batch_size': 3}. 
Trial 26 finished with values: [8.910373210906982, 0.7807742853959402] and parameters: {'resnet2d_inplanes_0': 51, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 52, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 55, 'resnet3d_inplanes_2': 23, 'optimizer': 'Adam', 'lr': 0.0001619055984025739, 'weight_decay': 0.00010137899267622694, 'batch_size': 2}. 
Trial 27 finished with values: [21.896335124969482, 0.9470304995775223] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 39, 'resnet3d_inplanes_1': 20, 'resnet2d_inplanes_2': 58, 'resnet3d_inplanes_2': 29, 'optimizer': 'SGD', 'lr': 0.031049783845550547, 'weight_decay': 0.003379703382793518, 'batch_size': 3}. 
Trial 28 finished with values: [7.704913298288981, 0.7419967949390411] and parameters: {'resnet2d_inplanes_0': 41, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 49, 'resnet3d_inplanes_2': 20, 'optimizer': 'Adam', 'lr': 0.0011206331387725373, 'weight_decay': 0.00010157802238074667, 'batch_size': 2}. 
Trial 29 finished with values: [9.005065282185873, 0.7819331685702006] and parameters: {'resnet2d_inplanes_0': 58, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 47, 'resnet3d_inplanes_1': 22, 'resnet2d_inplanes_2': 55, 'resnet3d_inplanes_2': 18, 'optimizer': 'RMSprop', 'lr': 0.001603710321011858, 'weight_decay': 9.999937768722115e-05, 'batch_size': 4}. 
