Trial 0 finished with values: [8.043825817108154, 0.7468937397003174] and parameters: {'resnet2d_inplanes_0': 39, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 49, 'resnet3d_inplanes_1': 18, 'resnet2d_inplanes_2': 37, 'resnet3d_inplanes_2': 27, 'optimizer': 'Adam', 'lr': 6.330615562006416e-05, 'weight_decay': 2.505878748516921e-05, 'batch_size': 3}. 
Trial 1 finished with values: [27.758554935455322, 1.0] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 26, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 47, 'resnet3d_inplanes_2': 26, 'optimizer': 'SGD', 'lr': 0.054502154112189304, 'weight_decay': 1.4240904099039253e-05, 'batch_size': 5}. 
Trial 2 finished with values: [8.533979960850306, 0.7572424752371651] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 42, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 42, 'resnet3d_inplanes_2': 23, 'optimizer': 'Adam', 'lr': 8.216392585254432e-05, 'weight_decay': 0.005600787886868945, 'batch_size': 2}. 
Trial 3 finished with values: [14.313141107559204, 0.9019376933574677] and parameters: {'resnet2d_inplanes_0': 41, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 62, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 24, 'optimizer': 'Adam', 'lr': 0.030294095196122153, 'weight_decay': 0.00022871223183994454, 'batch_size': 5}. 
Trial 4 finished with values: [9.000881791114807, 0.7884614318609238] and parameters: {'resnet2d_inplanes_0': 42, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 20, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 29, 'optimizer': 'Adam', 'lr': 0.0005683303703095466, 'weight_decay': 0.0004455048522935195, 'batch_size': 5}. 
Trial 5 finished with values: [10.598579134259905, 0.805588960647583] and parameters: {'resnet2d_inplanes_0': 51, 'resnet3d_inplanes_0': 18, 'resnet2d_inplanes_1': 35, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 55, 'resnet3d_inplanes_2': 32, 'optimizer': 'Adam', 'lr': 0.004918570640544764, 'weight_decay': 6.931167334491954e-06, 'batch_size': 2}. 
Trial 6 finished with values: [12.79697585105896, 0.854850560426712] and parameters: {'resnet2d_inplanes_0': 64, 'resnet3d_inplanes_0': 24, 'resnet2d_inplanes_1': 56, 'resnet3d_inplanes_1': 21, 'resnet2d_inplanes_2': 32, 'resnet3d_inplanes_2': 23, 'optimizer': 'SGD', 'lr': 3.60925157040683e-05, 'weight_decay': 0.00039047785098329535, 'batch_size': 4}. 
Trial 7 finished with values: [10.146018266677856, 0.7825794070959091] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 38, 'resnet3d_inplanes_1': 22, 'resnet2d_inplanes_2': 42, 'resnet3d_inplanes_2': 16, 'optimizer': 'RMSprop', 'lr': 0.0001438250757154593, 'weight_decay': 0.0011278559366477829, 'batch_size': 4}. 
Trial 8 finished with values: [7.948485255241394, 0.7435398399829865] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 33, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 60, 'resnet3d_inplanes_2': 16, 'optimizer': 'Adam', 'lr': 0.0011516648502399862, 'weight_decay': 0.0005530736968432427, 'batch_size': 5}. 
Trial 9 finished with values: [15.47846794128418, 0.8524974882602692] and parameters: {'resnet2d_inplanes_0': 44, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 54, 'resnet3d_inplanes_1': 30, 'resnet2d_inplanes_2': 38, 'resnet3d_inplanes_2': 29, 'optimizer': 'SGD', 'lr': 1.3218448008240333e-05, 'weight_decay': 1.8234021503587142e-06, 'batch_size': 4}. 
Trial 10 finished with values: [11.206478357315063, 0.8063328713178635] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 18, 'resnet2d_inplanes_1': 46, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 42, 'resnet3d_inplanes_2': 23, 'optimizer': 'RMSprop', 'lr': 0.009332250932902802, 'weight_decay': 4.2075617735802614e-05, 'batch_size': 5}. 
